2025-07-14 12:03:22.020 WARN  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.c.SolrConfig Ignored deprecated enableRemoteStreaming in config; use sys-prop
2025-07-14 12:03:22.020 WARN  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.c.SolrConfig Ignored deprecated enableRemoteStreaming in config; use sys-prop
2025-07-14 12:03:22.025 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.s.IndexSchema Schema name=test
2025-07-14 12:03:22.026 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.s.IndexSchema Schema name=test
2025-07-14 12:03:22.026 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.s.IndexSchema Schema name=test
2025-07-14 12:03:22.028 INFO  (searcherExecutor-17-thread-1-processing-like) [ x:like] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-07-14 12:03:22.028 INFO  (searcherExecutor-15-thread-1-processing-organization) [ x:organization] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-07-14 12:03:22.028 INFO  (searcherExecutor-16-thread-1-processing-publishGraph) [ x:publishGraph] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-07-14 12:03:22.029 WARN  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.D.s.TrieDoubleField Solr loaded a deprecated plugin/analysis class [solr.TrieDoubleField]. Please consult documentation how to replace it accordingly.
2025-07-14 12:03:22.030 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.s.IndexSchema Loaded schema test/1.6 with uniqueid field ID
2025-07-14 12:03:22.030 WARN  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.D.s.TrieDateField Solr loaded a deprecated plugin/analysis class [solr.TrieDateField]. Please consult documentation how to replace it accordingly.
2025-07-14 12:03:22.031 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.c.CoreContainer Creating SolrCore 'publishRest' using configuration from instancedir /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/publishRest, trusted=true
2025-07-14 12:03:22.031 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.s.IndexSchema Loaded schema test/1.6 with uniqueid field ID
2025-07-14 12:03:22.031 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/publishRest], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/publishRest/data/]
2025-07-14 12:03:22.032 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.s.IndexSchema Loaded schema test/1.6 with uniqueid field Id
